continue_drop,student_id,gender,caste,mathematics_marks,english_marks,science_marks,science_teacher,languages_teacher,guardian,internet,school_id,total_students,total_toilets,establishment_year
continue,s00027,F,BC,0.444,0.574,0.444,4,0,father,TRUE,00382,470,71,1896
continue,s00028,F,SC,0.304,0.556,0.304,9,10,father,TRUE,00313,399,14,1916
continue,s00029,F,OC,0.362,0.703,0.362,0,5,mother,TRUE,00310,262,28,1985
continue,s00030,F,SC,0.519,0.663,0.519,8,0,mother,TRUE,00305,354,86,1986
continue,s00031,F,BC,0.779,0.701,0.779,4,2,mother,TRUE,00338,145,2,1929
continue,s00032,F,BC,0.567,0.558,0.567,8,2,mother,TRUE,00314,286,28,1903
continue,s00033,F,BC,0.391,0.533,0.391,5,0,mother,TRUE,00395,60,45,1860
continue,s00034,F,BC,0.355,0.373,0.355,7,4,mother,TRUE,00336,206,17,1940
continue,s00035,F,SC,0.38,0.611,0.38,3,10,mother,TRUE,00383,132,14,1996
continue,s00036,F,BC,0.304,0.474,0.304,0,2,mother,TRUE,00333,335,43,1916
continue,s00037,F,ST,0.599,0.677,0.599,1,2,mother,TRUE,00369,387,28,1921
continue,s00038,F,BC,0.449,0.475,0.449,3,5,father,TRUE,00391,161,14,1984
continue,s00039,F,ST,0.563,0.626,0.563,2,6,mother,TRUE,00397,221,15,1915
continue,s00040,F,BC,0.412,0.588,0.412,6,6,father,TRUE,00351,251,100,1924
continue,s00041,F,SC,0.566,0.855,0.566,4,5,mother,FALSE,00326,177,17,1986
continue,s00042,F,SC,0.366,0.625,0.366,6,8,mother,TRUE,00326,177,17,1986
continue,s00043,F,SC,0.625,0.656,0.625,4,4,mother,TRUE,00310,262,28,1985
drop,s00044,F,OC,0.301,0.467,0.301,6,5,mother,TRUE,00362,397,5,1950
continue,s00045,F,SC,0.08,0.411,0.08,6,10,other,TRUE,00391,161,14,1984
drop,s00046,F,BC,0.623,0.699,0.623,6,0,father,TRUE,00336,206,17,1940
continue,s00047,F,BC,0.443,0.601,0.443,0,6,mother,FALSE,00389,299,1,1921
continue,s00048,F,SC,0.475,0.596,0.475,2,6,father,TRUE,00337,185,15,1975
drop,s00049,F,BC,0.157,0.674,0.157,1,8,mother,TRUE,00386,220,30,1847
continue,s00050,F,BC,0.389,0.537,0.389,3,8,mother,FALSE,00354,184,NA,NA
continue,s00051,F,SC,0.661,0.406,0.661,5,11,mother,TRUE,00368,240,15,1893
continue,s00052,F,BC,0.656,0.319,0.656,4,6,mother,TRUE,00362,397,5,1950
continue,s00053,F,BC,0.229,0.6,0.229,5,4,mother,TRUE,00300,198,28,1913
continue,s00054,F,SC,0.283,0.478,0.283,1,10,mother,TRUE,00351,251,100,1924
continue,s00055,F,OC,0.64,0.636,0.64,2,4,mother,TRUE,00341,430,44,1959
continue,s00056,F,BC,0.662,0.632,0.662,3,3,mother,TRUE,00344,220,71,1910
continue,s00057,F,BC,0.351,0.464,0.351,5,4,mother,TRUE,00365,444,14,1970
continue,s00058,F,SC,0.48,0.546,0.48,4,8,mother,FALSE,00361,287,15,1992
continue,s00059,F,BC,0.544,0.597,0.544,5,5,mother,TRUE,00386,220,30,1847
continue,s00060,F,BC,0.779,0.625,0.779,8,9,mother,TRUE,00330,125,43,1959
continue,s00061,F,OC,0.299,0.445,0.299,1,4,mother,TRUE,00312,257,14,1946
drop,s00062,F,BC,0.551,0.82,0.551,4,9,mother,TRUE,00352,177,28,1905
continue,s00063,F,SC,0.417,0.535,0.417,3,7,father,FALSE,00323,344,28,1961
continue,s00064,F,BC,0.398,0.393,0.398,3,10,mother,TRUE,00312,257,14,1946
continue,s00065,F,ST,0.393,0.685,0.393,4,6,mother,FALSE,00362,397,5,1950
continue,s00066,F,BC,0.519,0.432,0.519,0,0,mother,TRUE,00390,140,14,1972
continue,s00067,F,OC,0.206,0.478,0.206,3,7,mother,TRUE,00398,116,1,1995
continue,s00068,F,SC,0.708,0.949,0.708,1,6,father,TRUE,00323,344,28,1961
continue,s00069,F,OC,0.777,0.767,0.777,0,5,mother,TRUE,00391,161,14,1984
continue,s00070,F,SC,0.544,0.563,0.544,2,7,mother,TRUE,00320,384,28,1909
continue,s00071,F,SC,0.863,0.738,0.863,4,6,mother,TRUE,00368,240,15,1893
continue,s00072,F,BC,0.39,0.511,0.39,4,10,mother,TRUE,00348,80,14,1871
continue,s00073,F,BC,0.352,0.569,0.352,2,7,mother,TRUE,00326,177,17,1986
continue,s00074,F,BC,0.59,0.576,0.59,4,6,mother,TRUE,00364,147,28,1911
continue,s00075,F,BC,0.757,0.882,0.757,6,7,mother,TRUE,00334,571,61,1924
continue,s00076,F,BC,0.744,0.899,0.744,4,3,mother,TRUE,00341,430,44,1959
continue,s00077,F,OC,0.639,0.614,0.639,4,0,mother,TRUE,00390,140,14,1972
continue,s00078,F,SC,0.55,0.679,0.55,7,0,mother,TRUE,00314,286,28,1903
continue,s00079,F,OC,0.67,0.793,0.67,4,5,mother,TRUE,00334,571,61,1924
continue,s00080,F,SC,0.584,0.536,0.584,2,10,mother,TRUE,00359,305,44,1915
continue,s00081,F,SC,0.687,0.483,0.687,6,10,mother,TRUE,00385,193,2,1989
continue,s00082,F,ST,0.434,0.611,0.434,2,5,father,TRUE,00339,245,14,1840
continue,s00083,F,BC,0.336,0.448,0.336,6,10,mother,FALSE,00393,111,10,2006
continue,s00084,F,SC,0.443,0.424,0.443,4,0,father,TRUE,00313,399,14,1916
continue,s00085,F,ST,0.51,0.44,0.51,2,0,mother,TRUE,00371,136,2,1925
continue,s00086,F,BC,0.653,0.572,0.653,5,6,mother,TRUE,00386,220,30,1847
continue,s00087,F,BC,0.586,0.648,0.586,4,9,father,TRUE,00325,97,43,1842
continue,s00088,F,BC,0.347,0.538,0.347,4,5,father,FALSE,00328,356,14,1943
continue,s00089,F,BC,0.542,0.767,0.542,1,5,mother,TRUE,00356,154,NA,NA
continue,s00090,F,ST,0.819,0.798,0.819,8,6,mother,TRUE,00307,177,15,1926
continue,s00091,F,ST,0.676,0.764,0.676,0,5,mother,TRUE,00334,571,61,1924
continue,s00092,F,BC,0.416,0.533,0.416,0,4,mother,TRUE,00323,344,28,1961
continue,s00093,F,SC,0.495,0.741,0.495,0,3,mother,TRUE,00367,128,14,1969
continue,s00094,F,OC,0.576,0.667,0.576,7,3,mother,FALSE,00389,299,1,1921
continue,s00095,F,OC,0.277,0.465,0.277,0,3,mother,TRUE,00331,516,15,1996
continue,s00096,F,SC,0.401,0.538,0.401,2,1,mother,TRUE,00366,62,28,1897
continue,s00097,F,SC,0.626,0.751,0.626,5,4,father,TRUE,00378,121,28,1971
continue,s00098,F,OC,0.413,0.831,0.413,8,3,father,TRUE,00336,206,17,1940
continue,s00099,F,BC,0.328,0.547,0.328,3,6,mother,TRUE,00397,221,15,1915
continue,s00100,F,BC,0.503,0.446,0.503,4,4,mother,TRUE,00391,161,14,1984
continue,s00101,F,BC,0.948,0.939,0.948,4,4,mother,FALSE,00339,245,14,1840
continue,s00102,F,BC,0.404,0.532,0.404,0,7,mother,FALSE,00354,184,NA,NA
continue,s00103,F,SC,0.666,0.727,0.666,4,6,mother,TRUE,00327,251,18,1984
continue,s00104,F,SC,0.235,0.483,0.235,1,7,father,TRUE,00326,177,17,1986
continue,s00105,F,BC,0.347,0.643,0.347,1,6,mother,TRUE,00331,516,15,1996
drop,s00106,F,OC,0.64,0.711,0.64,8,10,mother,TRUE,00354,184,NA,NA
continue,s00107,F,BC,0.284,0.558,0.284,1,10,mother,FALSE,00313,399,14,1916
continue,s00108,F,SC,0.227,0.432,0.227,8,5,father,TRUE,00321,35,1,1983
continue,s00109,F,SC,0.148,0.479,0.148,4,5,mother,FALSE,00397,221,15,1915
continue,s00110,F,ST,0.389,0.582,0.389,4,6,mother,TRUE,00374,207,28,1896
continue,s00111,F,BC,0.482,0.698,0.482,5,2,mother,FALSE,00333,335,43,1916
continue,s00112,F,BC,0.613,0.696,0.613,1,2,mother,TRUE,00343,353,15,1957
continue,s00113,F,BC,0.5,0.544,0.5,1,5,mother,TRUE,00329,275,60,1914
continue,s00114,F,BC,0.474,0.562,0.474,9,4,mother,TRUE,00332,93,14,1880
continue,s00115,F,OC,0.46,0.635,0.46,1,10,mother,FALSE,00341,430,44,1959
continue,s00116,F,SC,0.357,0.573,0.357,6,6,father,FALSE,00341,430,44,1959
continue,s00117,F,BC,0.531,0.778,0.531,8,4,mother,TRUE,00320,384,28,1909
continue,s00118,F,BC,0.79,0.865,0.79,0,10,father,FALSE,00365,444,14,1970
continue,s00119,F,SC,0.684,0.848,0.684,8,6,father,TRUE,00360,273,2,1995
continue,s00120,F,OC,0.885,0.985,0.885,5,5,father,TRUE,00367,128,14,1969
continue,s00121,F,BC,0.74,0.869,0.74,4,3,mother,TRUE,00353,359,8,1986
continue,s00122,F,BC,0.152,0.568,0.152,2,0,mother,TRUE,00351,251,100,1924
continue,s00123,F,BC,0.413,0.611,0.413,3,2,mother,FALSE,00353,359,8,1986
continue,s00124,F,BC,0.474,0.255,0.474,0,6,mother,TRUE,00314,286,28,1903
continue,s00125,F,BC,0.757,0.481,0.757,1,6,mother,TRUE,00322,179,8,1955
continue,s00126,F,BC,0.646,0.804,0.646,8,0,mother,TRUE,00368,240,15,1893
continue,s00127,F,BC,0.73,0.554,0.73,6,3,mother,TRUE,00362,397,5,1950
drop,s00128,F,BC,0.697,0.947,0.697,6,3,mother,TRUE,00362,397,5,1950
continue,s00129,F,BC,0.275,0.429,0.275,4,6,mother,TRUE,00359,305,44,1915
continue,s00130,F,BC,0.531,0.564,0.531,5,3,mother,FALSE,00318,54,17,1867
continue,s00131,F,OC,0.935,0.734,0.935,8,5,mother,TRUE,00382,470,71,1896
continue,s00132,F,BC,0.447,0.45,0.447,0,4,mother,TRUE,00363,148,28,1895
continue,s00133,F,BC,0.444,0.559,0.444,1,0,mother,TRUE,00353,359,8,1986
continue,s00134,F,SC,0.794,0.667,0.794,4,6,mother,TRUE,00305,354,86,1986
continue,s00135,F,OC,0.737,0.649,0.737,8,5,father,TRUE,00379,95,15,1981
continue,s00136,F,SC,0.631,0.6,0.631,3,6,father,TRUE,00359,305,44,1915
continue,s00137,F,ST,0.594,0.532,0.594,2,9,mother,TRUE,00341,430,44,1959
continue,s00138,F,BC,0.236,0.464,0.236,4,7,father,TRUE,00300,198,28,1913
continue,s00139,F,BC,0.737,0.836,0.737,2,6,father,TRUE,00315,280,1,1923
continue,s00140,F,BC,0.778,0.747,0.778,9,9,mother,TRUE,00338,145,2,1929
continue,s00141,F,SC,0.386,0.632,0.386,9,0,mother,TRUE,00352,177,28,1905
continue,s00142,F,SC,0.61,0.81,0.61,5,6,mother,TRUE,00320,384,28,1909
continue,s00143,F,BC,0.674,0.567,0.674,4,12,father,TRUE,00300,198,28,1913
continue,s00144,F,OC,0.494,0.5,0.494,6,8,mother,TRUE,00340,134,15,1976
continue,s00145,F,SC,0.422,0.436,0.422,1,6,mother,FALSE,00389,299,1,1921
continue,s00146,F,SC,0.068,0.31,0.068,3,9,mother,TRUE,00302,191,2,1948
continue,s00147,F,BC,0.212,0.601,0.212,1,4,mother,FALSE,00311,209,14,1976
continue,s00148,F,SC,0.332,0.289,0.332,5,10,mother,TRUE,00331,516,15,1996
continue,s00149,F,BC,0.511,0.551,0.511,1,5,mother,TRUE,00392,469,14,1905
continue,s00150,F,SC,0.592,0.891,0.592,3,7,mother,FALSE,00331,516,15,1996
continue,s00151,F,SC,0.274,0.24,0.274,0,7,mother,FALSE,00382,470,71,1896
continue,s00152,F,BC,0.404,0.608,0.404,6,9,mother,TRUE,00337,185,15,1975
continue,s00153,F,BC,0.37,0.753,0.37,2,4,mother,TRUE,00355,96,1,1966
continue,s00154,F,SC,0.186,0.51,0.186,6,4,other,TRUE,00392,469,14,1905
continue,s00155,F,SC,0.236,0.56,0.236,7,0,mother,TRUE,00307,177,15,1926
continue,s00156,F,OC,1.002,0.92,1.002,2,4,mother,TRUE,00301,49,14,1844
continue,s00157,F,BC,0.194,0.508,0.194,4,9,mother,TRUE,00392,469,14,1905
continue,s00158,F,BC,0.504,0.575,0.504,4,5,mother,TRUE,00384,190,14,1996
continue,s00159,F,BC,0.79,0.818,0.79,4,5,father,TRUE,00351,251,100,1924
continue,s00160,F,OC,0.703,0.814,0.703,1,0,mother,TRUE,00370,272,1,1961
continue,s00161,F,BC,0.114,0.444,0.114,2,7,mother,TRUE,00331,516,15,1996
continue,s00162,F,SC,0.481,0.754,0.481,2,7,mother,TRUE,00324,170,31,1949
continue,s00163,F,OC,0.642,0.901,0.642,5,10,father,TRUE,00311,209,14,1976
continue,s00164,F,SC,0.885,0.745,0.885,4,3,father,TRUE,00392,469,14,1905
continue,s00165,F,BC,0.448,0.581,0.448,1,10,father,TRUE,00329,275,60,1914
continue,s00166,F,BC,0.523,0.594,0.523,0,7,mother,TRUE,00342,295,18,1907
continue,s00167,F,BC,0.578,0.728,0.578,0,10,mother,TRUE,00353,359,8,1986
continue,s00168,F,ST,0.522,0.568,0.522,5,6,mother,FALSE,00325,97,43,1842
continue,s00169,F,BC,0.143,0.517,0.143,4,7,other,TRUE,00373,75,1,1832
continue,s00170,F,BC,0.772,0.646,0.772,5,3,mother,TRUE,00341,430,44,1959
continue,s00171,F,BC,0.353,0.57,0.353,5,4,other,TRUE,00352,177,28,1905
continue,s00172,F,BC,0.346,0.296,0.346,2,1,other,FALSE,00313,399,14,1916
continue,s00173,F,BC,0.354,0.578,0.354,1,5,other,TRUE,00365,444,14,1970
continue,s00174,F,SC,0.418,0.496,0.418,2,6,other,TRUE,00373,75,1,1832
continue,s00175,F,BC,0.266,0.623,0.266,7,6,other,TRUE,00391,161,14,1984
continue,s00176,M,BC,0.521,0.401,0.521,4,8,mother,TRUE,00347,67,1,1935
continue,s00177,M,BC,0.357,0.227,0.357,2,7,mother,FALSE,00367,128,14,1969
continue,s00178,M,BC,0.172,0.42,0.172,8,10,mother,FALSE,00304,390,28,1914
continue,s00179,M,SC,0.851,0.584,0.851,3,0,mother,TRUE,00320,384,28,1909
continue,s00180,M,BC,0.674,0.46,0.674,0,2,father,TRUE,00365,444,14,1970
continue,s00181,M,SC,0.782,0.713,0.782,2,5,other,TRUE,00312,257,14,1946
continue,s00182,M,SC,0.951,0.704,0.951,8,4,mother,TRUE,00359,305,44,1915
continue,s00183,M,BC,0.547,0.537,0.547,2,6,mother,TRUE,00353,359,8,1986
continue,s00184,M,BC,0.646,0.544,0.646,4,3,mother,TRUE,00369,387,28,1921
continue,s00185,M,BC,0.391,0.451,0.391,5,0,father,TRUE,00388,155,1,1910
continue,s00186,M,SC,0.745,0.645,0.745,4,3,father,TRUE,00324,170,31,1949
continue,s00187,M,BC,0.463,0.374,0.463,6,6,mother,TRUE,00388,155,1,1910
continue,s00188,M,BC,0.562,0.53,0.562,8,5,father,TRUE,00359,305,44,1915
continue,s00189,M,SC,0.83,0.567,0.83,0,0,mother,TRUE,00301,49,14,1844
continue,s00190,M,BC,0.788,0.655,0.788,8,9,father,TRUE,00379,95,15,1981
continue,s00191,M,SC,0.576,0.347,0.576,4,10,father,TRUE,00351,251,100,1924
continue,s00192,M,BC,0.543,0.537,0.543,6,2,mother,TRUE,00342,295,18,1907
continue,s00193,M,SC,0.847,0.456,0.847,5,7,mother,TRUE,00342,295,18,1907
continue,s00194,M,SC,0.472,0.384,0.472,4,5,mother,TRUE,00333,335,43,1916
continue,s00195,M,BC,0.73,0.502,0.73,6,3,mother,FALSE,00359,305,44,1915
continue,s00196,M,BC,0.485,0.52,0.485,1,8,mother,TRUE,00365,444,14,1970
continue,s00197,M,SC,0.474,0.494,0.474,6,10,mother,TRUE,00396,129,21,2006
continue,s00198,M,OC,0.774,0.691,0.774,4,2,mother,TRUE,00353,359,8,1986
continue,s00199,M,SC,0.257,0.383,0.257,7,7,father,TRUE,00382,470,71,1896
continue,s00200,M,BC,0.72,0.513,0.72,1,0,father,TRUE,00389,299,1,1921
continue,s00201,M,SC,0.503,0.403,0.503,8,3,mother,TRUE,00386,220,30,1847
continue,s00202,M,ST,0.655,0.841,0.655,3,6,father,FALSE,00359,305,44,1915
continue,s00203,M,SC,0.584,0.552,0.584,3,9,mother,TRUE,00336,206,17,1940
continue,s00204,M,ST,0.838,0.759,0.838,4,2,mother,TRUE,00310,262,28,1985
continue,s00205,M,ST,0.999,0.745,0.999,2,6,father,TRUE,00378,121,28,1971
continue,s00206,M,SC,0.763,0.72,0.763,6,6,mother,FALSE,00361,287,15,1992
drop,s00207,M,BC,0.438,0.495,0.438,5,3,mother,TRUE,00369,387,28,1921
continue,s00208,M,BC,0.895,0.807,0.895,0,6,mother,TRUE,00356,154,NA,NA
continue,s00209,M,OC,0.565,0.397,0.565,4,3,father,FALSE,00380,228,15,1918
continue,s00210,M,BC,1.03,0.597,1.03,3,4,mother,TRUE,00365,444,14,1970
continue,s00211,M,BC,0.401,0.599,0.401,6,3,father,TRUE,00365,444,14,1970
continue,s00212,M,BC,0.632,0.561,0.632,2,6,mother,TRUE,00359,305,44,1915
continue,s00213,M,BC,0.762,0.562,0.762,3,4,mother,TRUE,00392,469,14,1905
continue,s00214,M,OC,0.453,0.535,0.453,5,5,mother,TRUE,00376,68,15,1918
continue,s00215,M,BC,0.913,0.937,0.913,6,12,mother,TRUE,00368,240,15,1893
continue,s00216,M,OC,0.833,0.666,0.833,1,4,mother,TRUE,00334,571,61,1924
continue,s00217,M,BC,0.736,0.662,0.736,4,6,father,TRUE,00331,516,15,1996
continue,s00218,M,BC,0.666,0.468,0.666,7,6,other,TRUE,00313,399,14,1916
continue,s00219,M,BC,0.682,0.622,0.682,5,5,mother,TRUE,00348,80,14,1871
continue,s00220,M,BC,0.354,0.66,0.354,8,0,mother,FALSE,00395,60,45,1860
continue,s00221,M,BC,0.781,0.474,0.781,7,7,mother,FALSE,00384,190,14,1996
continue,s00222,M,BC,0.343,0.434,0.343,2,2,mother,TRUE,00304,390,28,1914
continue,s00223,M,BC,0.388,0.355,0.388,4,5,mother,TRUE,00329,275,60,1914
drop,s00224,M,OC,0.646,0.317,0.646,6,7,mother,TRUE,00334,571,61,1924
continue,s00225,M,BC,0.89,0.644,0.89,2,2,mother,TRUE,00342,295,18,1907
continue,s00226,M,SC,0.335,0.483,0.335,5,2,father,TRUE,00327,251,18,1984
continue,s00227,M,SC,0.733,0.448,0.733,1,7,mother,TRUE,00359,305,44,1915
continue,s00228,M,OC,0.709,0.921,0.709,4,4,mother,TRUE,00326,177,17,1986
continue,s00229,M,BC,0.632,0.445,0.632,9,4,mother,TRUE,00344,220,71,1910
continue,s00230,M,BC,0.966,0.806,0.966,4,10,mother,TRUE,00356,154,NA,NA
continue,s00231,M,OC,0.409,0.399,0.409,6,8,father,TRUE,00329,275,60,1914
continue,s00232,M,SC,0.505,0.409,0.505,6,8,father,TRUE,00392,469,14,1905
continue,s00233,M,SC,0.655,0.553,0.655,3,0,father,TRUE,00333,335,43,1916
continue,s00234,M,BC,0.674,0.614,0.674,5,6,mother,FALSE,00338,145,2,1929
drop,s00235,M,BC,0.725,0.556,0.725,6,2,father,TRUE,00313,399,14,1916
continue,s00236,M,OC,0.454,0.611,0.454,5,5,mother,TRUE,00376,68,15,1918
continue,s00237,M,SC,0.707,0.571,0.707,4,4,mother,TRUE,00300,198,28,1913
continue,s00238,M,OC,0.434,0.353,0.434,2,3,other,TRUE,00341,430,44,1959
continue,s00239,M,SC,0.547,0.288,0.547,4,6,father,TRUE,00389,299,1,1921
continue,s00240,M,BC,0.768,0.755,0.768,4,7,father,TRUE,00397,221,15,1915
continue,s00241,M,OC,0.862,0.67,0.862,2,4,father,TRUE,00328,356,14,1943
continue,s00242,M,SC,0.865,0.435,0.865,5,8,mixed,TRUE,00378,121,28,1971
continue,s00243,M,BC,0.534,0.611,0.534,5,6,mixed,TRUE,00387,113,4,2014
continue,s00244,M,BC,0.609,0.542,0.609,5,11,mother,TRUE,00390,140,14,1972
continue,s00245,M,BC,0.174,0.402,0.174,2,10,father,TRUE,00393,111,10,2006
continue,s00246,M,SC,0.896,0.827,0.896,9,4,mother,TRUE,00369,387,28,1921
continue,s00247,M,BC,0.376,0.615,0.376,8,6,mother,TRUE,00316,59,62,2026
continue,s00248,M,BC,0.571,0.463,0.571,4,10,mother,TRUE,00345,143,28,1879
continue,s00249,M,BC,0.739,0.625,0.739,5,6,father,TRUE,00382,470,71,1896
continue,s00250,M,ST,0.679,0.714,0.679,4,4,mother,TRUE,00315,280,1,1923
continue,s00251,M,SC,0.628,0.626,0.628,2,5,mother,TRUE,00370,272,1,1961
continue,s00252,M,ST,0.349,0.302,0.349,1,0,mother,TRUE,00384,190,14,1996
continue,s00253,M,BC,0.808,0.855,0.808,6,6,father,TRUE,00365,444,14,1970
continue,s00254,M,OC,0.214,0.684,0.214,4,3,mixed,TRUE,00316,59,62,2026
continue,s00255,M,BC,0.137,0.214,0.137,4,4,mother,TRUE,00342,295,18,1907
continue,s00256,M,BC,0.794,0.732,0.794,3,5,father,TRUE,00391,161,14,1984
continue,s00257,M,BC,0.763,0.318,0.763,4,0,mixed,TRUE,00365,444,14,1970
continue,s00258,M,SC,0.523,0.522,0.523,7,10,mother,TRUE,00387,113,4,2014
continue,s00259,M,SC,0.564,0.602,0.564,5,11,mother,TRUE,00355,96,1,1966
continue,s00260,M,BC,0.25,0.363,0.25,1,3,mother,FALSE,00359,305,44,1915
continue,s00261,M,BC,0.321,0.38,0.321,5,0,mother,TRUE,00379,95,15,1981
continue,s00262,M,BC,0.638,0.309,0.638,6,6,mother,FALSE,00388,155,1,1910
continue,s00263,M,BC,0.628,0.33,0.628,7,4,mother,FALSE,00396,129,21,2006
continue,s00264,M,SC,0.764,0.722,0.764,5,4,mother,TRUE,00362,397,5,1950
continue,s00265,M,BC,0.558,0.573,0.558,1,4,mother,TRUE,00378,121,28,1971
continue,s00266,M,BC,0.711,0.456,0.711,5,3,mother,TRUE,00391,161,14,1984
continue,s00267,M,BC,0.462,0.45,0.462,0,10,father,TRUE,00331,516,15,1996
continue,s00268,M,BC,0.926,0.65,0.926,0,5,mother,TRUE,00335,87,14,1886
continue,s00269,M,OC,0.405,0.512,0.405,5,0,father,TRUE,00333,335,43,1916
continue,s00270,M,BC,0.8,0.513,0.8,6,4,mother,TRUE,00334,571,61,1924
continue,s00271,M,BC,0.142,0.687,0.142,4,4,mother,TRUE,00357,57,14,1929
continue,s00272,M,OC,0.737,0.889,0.737,2,5,mother,FALSE,00392,469,14,1905
continue,s00273,M,BC,0.372,0.302,0.372,1,0,mother,FALSE,00328,356,14,1943
continue,s00274,M,OC,0.32,0.462,0.32,1,6,father,TRUE,00334,571,61,1924
continue,s00275,M,BC,0.517,0.506,0.517,1,9,mother,TRUE,00323,344,28,1961
continue,s00276,M,SC,0.602,0.642,0.602,0,6,father,TRUE,00353,359,8,1986
continue,s00277,M,BC,0.538,0.468,0.538,4,8,mother,TRUE,00354,184,NA,NA
continue,s00278,M,BC,0.104,0.335,0.104,2,7,mother,FALSE,00359,305,44,1915
continue,s00279,M,SC,0.502,0.573,0.502,2,4,mother,TRUE,00362,397,5,1950
continue,s00280,M,OC,0.296,0.26,0.296,6,6,mother,FALSE,00396,129,21,2006
continue,s00281,M,SC,0.612,0.285,0.612,9,5,mother,FALSE,00305,354,86,1986
continue,s00282,M,BC,0.201,0.317,0.201,8,5,mother,TRUE,00300,198,28,1913
continue,s00283,M,OC,0.414,0.529,0.414,4,0,father,TRUE,00382,470,71,1896
drop,s00284,M,OC,0.359,0.521,0.359,2,7,other,TRUE,00386,220,30,1847
continue,s00285,M,SC,0.099,0.354,0.099,3,1,mother,TRUE,00367,128,14,1969
continue,s00286,M,BC,0.094,0.287,0.094,4,6,mother,TRUE,00392,469,14,1905
continue,s00287,M,BC,0.393,0.338,0.393,2,2,mother,TRUE,00305,354,86,1986
continue,s00288,M,BC,0.423,0.238,0.423,4,3,mother,TRUE,00315,280,1,1923
continue,s00289,M,ST,0.631,0.519,0.631,3,6,father,TRUE,00380,228,15,1918
continue,s00290,M,BC,0.433,0.559,0.433,8,4,mother,TRUE,00355,96,1,1966
continue,s00291,M,BC,0.126,0.26,0.126,4,0,mother,TRUE,00304,390,28,1914
continue,s00292,M,SC,0.539,0.727,0.539,1,7,mother,TRUE,00396,129,21,2006
continue,s00293,M,BC,0.167,0.405,0.167,2,6,father,TRUE,00382,470,71,1896
continue,s00294,M,BC,0.797,0.977,0.797,1,6,mother,TRUE,00334,571,61,1924
continue,s00295,M,BC,0.562,0.636,0.562,1,5,mother,TRUE,00331,516,15,1996
continue,s00296,M,SC,0.513,0.492,0.513,7,5,mother,TRUE,00336,206,17,1940
continue,s00297,M,BC,0.737,0.706,0.737,2,2,mother,TRUE,00398,116,1,1995
continue,s00298,M,BC,0.436,0.621,0.436,7,9,mother,TRUE,00386,220,30,1847
continue,s00299,M,SC,0.51,0.582,0.51,0,4,mother,TRUE,00324,170,31,1949
continue,s00300,M,BC,0.361,0.463,0.361,0,2,mother,TRUE,00394,122,15,1889
continue,s00301,M,SC,0.365,0.379,0.365,2,6,mother,TRUE,00313,399,14,1916
continue,s00302,M,BC,0.663,0.823,0.663,4,4,father,TRUE,00342,295,18,1907
