"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Feedback"
29,"No","Travel_Rarely",1389,"Research & Development",21,"Master","Life Sciences",1,2,"Female",51,4,3,"Manufacturing Director",1,"Divorced",9980,10195,1,"No",11,3,3,80,1,10,1,3,10,9,8,8,"Google is one of the first places Ive worked where I feel like Im surrounded by people that are way smarter than I am This makes for a really creative environment where everyone is pushing you to go beyond your limits and make something even better It also means that you can just trust that everyone around you is really good at what they do"
32,"No","Travel_Rarely",334,"Research & Development",5,"College","Life Sciences",1,1,"Male",80,4,1,"Research Scientist",2,"Divorced",3298,15053,0,"Yes",12,3,4,80,2,7,5,2,6,2,0,5,"Great people Impact Great Benefts"
22,"No","Non-Travel",1123,"Research & Development",16,"College","Medical",1,4,"Male",96,4,1,"Laboratory Technician",4,"Divorced",2935,7324,1,"Yes",13,3,2,80,2,1,2,2,1,0,0,0,"People think better of you if you work at Google The people you work with are really really smart because Google sets the bar for hiring so high Theres free breakfast lunch and dinner  and its good The yearly bonus tends to be even more than the percentage in the offer letter"
53,"No","Travel_Rarely",1219,"Sales",2,"Master","Life Sciences",1,1,"Female",78,2,4,"Manager",4,"Married",15427,22021,2,"No",16,3,3,80,0,31,3,3,25,8,3,7,"Google is an extraordinary place to work the perks are second to none the quality of employees is exceptionally high and the products are mostly cutting edge and interesting Google treats its employees very well and believes in leadership from the bottom up which provides a sense of ownership and personal investment that is unequaled in my experience "
38,"No","Travel_Rarely",371,"Research & Development",2,"Bachelor","Life Sciences",1,4,"Male",45,3,1,"Research Scientist",4,"Single",3944,4306,5,"Yes",11,3,3,80,0,6,3,3,3,2,1,2,"Smart People Chance to make a big difference to the lives of millions of people Managements desire to be seen as a force for good Fellow Googlers concern for the environment and heightened awareness of world issues"
24,"No","Non-Travel",673,"Research & Development",11,"College","Other",1,1,"Female",96,4,2,"Manufacturing Director",3,"Divorced",4011,8232,0,"No",18,3,4,80,1,5,5,2,4,2,1,3,"No company has ever done more to ensure the happiness and comfort of their employees It has of course grown more compartmentalized and beaurocratic as it has grown but it remains a rather open playing field Google also fosters a fertile and receptive breeding ground for homegrown ideas and suggestions some of which has grown into successful consumer products"
34,"No","Travel_Rarely",419,"Research & Development",7,"Master","Life Sciences",1,1,"Female",53,3,3,"Research Director",2,"Single",11994,21293,0,"No",11,3,3,80,0,13,4,3,12,6,2,11,"They are very concerned with the happiness of their employees We are treated well and the perks are phenomenal This is one of the pinnacles for where geeks want to work The work environment is condusive to working and staying engaged in the projects you are working on They make sure you have the tools that you need to get your work done They move VERY fast to get things done "
21,"No","Travel_Rarely",391,"Research & Development",15,"College","Life Sciences",1,3,"Male",96,3,1,"Research Scientist",4,"Single",1232,19281,1,"No",14,3,4,80,0,0,6,3,0,0,0,0,"I like working at Google as an SRE Site Reliability Engineer because it is a job that combines my skills as a professional software engineer and selftaught system administrator The work I do is quite varied so I dont get bored doing the same thing over and over like I have done at other companies"
53,"No","Travel_Rarely",1282,"Research & Development",5,"Bachelor","Other",1,3,"Female",58,3,5,"Manager",3,"Divorced",19094,10735,4,"No",11,3,4,80,1,26,3,2,14,13,4,8,"Google is a very nice company to work for The company is very transparent about its policies and directions and keeps every one uptodate of latest development  People have strong ownership of things they do And I feel that compensation is really good The bonus is really generous about 30 of your salary and the benefits are excellent"
42,"No","Travel_Rarely",691,"Sales",8,"Master","Marketing",1,3,"Male",48,3,2,"Sales Executive",2,"Married",6825,21173,0,"No",11,3,4,80,1,10,2,3,9,7,4,2,"great place to work great perks great collegues"
44,"No","Travel_Rarely",477,"Research & Development",7,"Master","Medical",1,1,"Female",42,2,3,"Healthcare Representative",4,"Married",10248,2094,3,"No",14,3,4,80,1,24,4,3,22,6,5,17,"great pay great flexibility Nobody pampers engineers like Google Focus is on small teams selfstarting and selfmotivating engineers Much less power politics than Ive found elsewhere"
46,"No","Travel_Rarely",705,"Sales",2,"Master","Marketing",1,2,"Female",83,3,5,"Manager",1,"Single",18947,22822,3,"No",12,3,4,80,0,22,2,2,2,2,2,1,"Huge variety of projects wonderful people brilliant minds awesome perks fairly easy to move from project to project real room for independent initiative management rarely blocks new ideas and rarely interferes with decision making stock options and shares very valuable"
33,"No","Travel_Rarely",924,"Research & Development",2,"Bachelor","Medical",1,3,"Male",78,3,1,"Laboratory Technician",4,"Single",2496,6670,4,"No",11,3,4,80,0,7,3,3,1,1,0,0,"The opportunity to work on projects that are interesting and cuttingedge"
44,"No","Travel_Rarely",1459,"Research & Development",10,"Master","Other",1,4,"Male",41,3,2,"Healthcare Representative",4,"Married",6465,19121,2,"Yes",13,3,4,80,0,9,5,4,4,2,1,3,"A common strain of intellectual curiosity among Googlers makes for one of the most stimulating learning environments No judgment for anything other than ethical errors  of course it pays to be smart and make good decisions"
30,"No","Travel_Rarely",125,"Research & Development",9,"College","Medical",1,4,"Male",83,2,1,"Laboratory Technician",3,"Single",2206,16117,1,"No",13,3,1,80,0,10,5,3,10,0,1,8,"Interacting all the time with brilliant colleagues of high integrity and drive strong push to innovate and change the world excellent compensation and benefits high openness and plenty of communication from senior management about all kind of companystrategy related issues with lots of trust towards each and every employee"
43,"No","Travel_Rarely",1273,"Research & Development",2,"College","Medical",1,4,"Female",72,4,1,"Research Scientist",3,"Divorced",2645,21923,1,"No",12,3,4,80,2,6,3,2,5,3,1,4,"Getting a chance to work on the worlds largest distributed system Obviously the company is very focused on employee satisfaction Its a total geek paradise with everyone trying to out geek each other"
35,"No","Travel_Rarely",890,"Sales",2,"Bachelor","Marketing",1,4,"Female",97,3,1,"Sales Representative",4,"Married",2014,9687,1,"No",13,3,1,80,0,2,3,3,2,2,2,2,"Work with many of the brightest people on some of the most challenging problems See your efforts noticed in the media and in the lives of your friends and family every day Engineering at Google is more than ever a dream job for the right people Think really really big There are terrifyingly few limits to what you can do here"
36,"No","Travel_Rarely",852,"Research & Development",5,"Master","Life Sciences",1,2,"Female",82,2,1,"Research Scientist",1,"Married",3419,13072,9,"Yes",14,3,4,80,1,6,3,4,1,1,0,0,"The best reason to work at Google are the benefits First of all we receive three delicious meals a day Secondly Google goes out of their way to make it a fun place to work From the beach volleyball court to the swimming pool there is always something fun going on I also enjoy the autonomy that engineers receive"
33,"No","Travel_Frequently",1141,"Sales",1,"Bachelor","Life Sciences",1,3,"Female",42,4,2,"Sales Executive",1,"Married",5376,3193,2,"No",19,3,1,80,2,10,3,3,5,3,1,3,"Great people Great food Total innovation I love working at a company that has so many cool projects A true technology company that is building new technologies to give everyone in the world internet access  Most impressive management team Ive ever worked with The management team including founders and CEO are aware and care about everything that is going on within the company "
35,"No","Travel_Rarely",464,"Research & Development",4,"College","Other",1,3,"Male",75,3,1,"Laboratory Technician",4,"Divorced",1951,10910,1,"No",12,3,3,80,1,1,3,3,1,0,0,0,"Working at Google you have really smart coworkers In the beginning it struck me that people quickly understood my ideas something I wasnt used to from college  Another great advantage at Google is that it is very engineering driven Generally engineers are given enough of freedom to work on what they consider to be most important "
27,"No","Travel_Rarely",1240,"Research & Development",2,"Master","Life Sciences",1,4,"Female",33,3,1,"Laboratory Technician",1,"Divorced",2341,19715,1,"No",13,3,4,80,1,1,6,3,1,0,0,0,"The best reasons to work at Google are 1 You want to make a difference in the world 2 You love a fast paced environment 3 You love technology and would kill to be one of the first to see and play with it  Yes the perks are great but at the end of the day if your work impacts billions of people in a positive way it all pays for any of the free gourmet lunches"
27,"No","Travel_Frequently",994,"Sales",8,"Bachelor","Life Sciences",1,4,"Male",37,3,3,"Sales Executive",3,"Single",8726,2975,1,"No",15,3,4,80,0,9,0,3,9,8,1,7,"You are surrounded by by brilliant people The executive team truly believes in making the world a better place  and they truly do care about their employees  Depending on your actual department  I am pretty sure most people would agree that they learn more here in 1 week  then you would in 1 year elsewhere Its a very forward thinking organization "
30,"No","Travel_Frequently",721,"Research & Development",1,"College","Medical",1,3,"Female",58,3,2,"Laboratory Technician",4,"Single",4011,10781,1,"No",23,4,4,80,0,12,2,3,12,8,3,7,"You get to work on some of the biggest clusters in the world on some very hard and interesting problems The people are generally above average and you always have to work to make sure youre doing better For the most part its a very strong meritocracy"
34,"No","Non-Travel",1065,"Sales",23,"Master","Marketing",1,2,"Male",72,3,2,"Sales Executive",3,"Single",4568,10034,0,"No",20,4,3,80,0,10,2,3,9,5,8,7,"Higher total compensation than competitors  competitive salaries are augmented by large cash bonuses equity awards 401k matching commuter benefits and incredible oncampus perks such as free meals and massages but also including so much more  Incredibly bright coworkers "
37,"No","Travel_Rarely",408,"Research & Development",19,"College","Life Sciences",1,2,"Male",73,3,1,"Research Scientist",2,"Married",3022,10227,4,"No",21,4,1,80,0,8,1,3,1,0,0,0,"Free food and a good variety perks fun and competent teammates The bonus plan is pretty good  They have a lot of social events but unlike some other reviewers I never felt like I was forced to go to them and I dont think I get labeled as ungoogley because of it  I feel pretty free to work on what I want to work on and I dont feel overmanaged"
46,"No","Travel_Frequently",1211,"Sales",5,"Master","Marketing",1,1,"Male",98,3,2,"Sales Executive",4,"Single",5772,20445,4,"Yes",21,4,3,80,0,14,4,3,9,6,0,8,"Challenging rewarding work found nowhere else Without going into detail Google offers problems found nowhere else in the computer industry in many different areas Its also pretty easy to move from one job to another if you find youre not satisfied with what youre doing"
35,"No","Travel_Rarely",1229,"Research & Development",8,"Others","Life Sciences",1,4,"Male",36,4,1,"Laboratory Technician",4,"Married",2269,4892,1,"No",19,3,4,80,0,1,2,3,1,0,0,1,"Working with talented driven people who I can learn from every day Working in a place where I feel Im making a difference Working in a place where I feel I can express myself Great for the resume I feel the experience Ive had here will be valuable in the future I have had a string of excellent managers I get to say that I work for one of the most influential companies of our time"
44,"No","Travel_Rarely",1488,"Sales",1,"Doctor","Marketing",1,2,"Female",75,3,2,"Sales Executive",1,"Divorced",5454,4009,5,"Yes",21,4,3,80,1,9,2,2,4,3,1,3," Working on cool technology  Pushing the envelope  Good work life balance as long as you keep your head on your shoulders  Freedom to do amazing things"
35,"No","Non-Travel",1097,"Research & Development",11,"College","Medical",1,3,"Male",79,2,3,"Healthcare Representative",1,"Married",9884,8302,2,"Yes",13,3,3,80,1,10,3,3,4,0,2,3,"great company that treats people incredibly well by and large The quality of people you work with day to day is just incredible  everyone you deal with is smart competent has some unique skill and brings a lot of energy to the place I believe in what the company is doing  yes we want to be a successful business but we really do try to make a better consumer experience in everything we do too"
26,"No","Travel_Rarely",1443,"Sales",23,"Bachelor","Marketing",1,3,"Female",47,2,2,"Sales Executive",4,"Married",4157,21436,7,"Yes",19,3,3,80,1,5,2,2,2,2,0,0,"The people and the problems Saying that the people is the best reason to work for a company is cliche but at Google it really is We have some of the worlds foremost experts working at Google across a broad range of disciplines And you get to work with these people and interact with them Now thats fun "
33,"No","Travel_Frequently",515,"Research & Development",1,"College","Life Sciences",1,1,"Female",98,3,3,"Research Director",4,"Single",13458,15146,1,"Yes",12,3,3,80,0,15,1,3,15,14,8,12,"Almost all engineers at Google are extremely talented and a pleasure to work work There are plenty of opportunities to work on challenging problems The hardware and resources you can apply to those problems are unmatched anywhere else in the industry Senior Google engineers get a lot of freedom in choosing what to work on and how to work on it"
35,"No","Travel_Frequently",853,"Sales",18,"Doctor","Life Sciences",1,2,"Male",71,3,3,"Sales Executive",1,"Married",9069,11031,1,"No",22,4,4,80,1,9,3,2,9,8,1,8,"Smart people great benefits company has a can do attitude The company truly tries to do no evil seen it from the inside Absolutely the best perks one can imagine In house doctors free food really gourmet food great technology and truly encourages innovation People are in general respectful and work well together"
35,"No","Travel_Rarely",1142,"Research & Development",23,"Master","Medical",1,3,"Female",30,3,1,"Laboratory Technician",1,"Married",4014,16002,3,"Yes",15,3,3,80,1,4,3,3,2,2,2,2,"The developers I work with at Google are the smartest Ive ever been around and as a result Ive improved my own skills more in my 9 months at Google than in both of my previous jobs The development process runs extremely smoothly and management doesnt get in the engineers way of creating great software We get the best hardware to do our work on and the nonworkrelated perks are wonderful free food"
31,"No","Travel_Rarely",655,"Research & Development",7,"Master","Life Sciences",1,4,"Male",48,3,2,"Laboratory Technician",4,"Divorced",5915,9528,3,"No",22,4,4,80,1,10,3,2,7,7,1,7,"Great pay work whenever convenient for you The free food is simply amazing Lots of perks like massages micro kitchens tech talks The tech stops and hardware depots are great assets you can go pick up headphones or a new keyboard and mouse for office use The work place is very open interaction with other employees is very easy It is filled with very intelligent and fun people The company is very open"
37,"No","Travel_Rarely",1115,"Research & Development",1,"Master","Life Sciences",1,1,"Male",51,2,2,"Manufacturing Director",3,"Divorced",5993,2689,1,"No",18,3,3,80,1,7,2,4,7,5,0,7,"1 The people  some of the best and brightest people Ive ever met Young energetic and creative people make work enjoyable and interesting Weve got our share of former Olympic athletes mad scientist engineers etc  2 The work  Were the market leaders in so many different spaces and its exciting to be on the cutting edge You get to work on things that might just change the game"
32,"No","Travel_Rarely",427,"Research & Development",1,"Bachelor","Medical",1,1,"Male",33,3,2,"Manufacturing Director",4,"Married",6162,10877,1,"Yes",22,4,2,80,1,9,3,3,9,8,7,8,"the benefits especially the food and fluid hours are great so is the fact that everyone around you is incredibly smart"
38,"No","Travel_Frequently",653,"Research & Development",29,"Doctor","Life Sciences",1,4,"Female",50,3,2,"Laboratory Technician",4,"Single",2406,5456,1,"No",11,3,4,80,0,10,2,3,10,3,9,9,"Thanks for setting up this site Glassdoor  Google is an industry leader in many endeavors and often finds itself listened to by competitors and partners alike I hope that does not come off as overly confident its a wonderful place to work Our management and product teams are thoughtful about all of our projects"
50,"No","Travel_Rarely",989,"Research & Development",7,"College","Medical",1,2,"Female",43,2,5,"Research Director",3,"Divorced",18740,16701,5,"Yes",12,3,4,80,1,29,2,2,27,3,13,8,"Its a great place to work as a programmer The tasks we work on are mostly interesting and challenging and the breadth at which your work will be applied is nearly unparalleled certainly in the online business The people are fun and smart"
59,"No","Travel_Rarely",1435,"Sales",25,"Bachelor","Life Sciences",1,1,"Female",99,3,3,"Sales Executive",1,"Single",7637,2354,7,"No",11,3,4,80,0,28,3,2,21,16,7,9,"Perks are phenomenal Projects are extremely high impact The company trusts engineers to do the right thing and prefers to give engineers information so they can make decisions instead of hording information to make the decisions themselves Engineers get all the best tools Big monitors lots of computing resources and dont have much redtape getting normal stuff done"
36,"No","Travel_Rarely",1223,"Research & Development",8,"Bachelor","Technical Degree",1,3,"Female",59,3,3,"Healthcare Representative",3,"Divorced",10096,8202,1,"No",13,3,2,80,3,17,2,3,17,14,12,8,"Youll work with some of the smartest and most accomplished people in the industry People truly believe they can change the way things are done The ability to have your products make a huge impact on the industry Constant innovation and change is part of the culture"
55,"No","Travel_Rarely",836,"Research & Development",8,"Bachelor","Medical",1,4,"Female",33,3,4,"Manager",3,"Divorced",14756,19730,2,"Yes",14,3,3,80,3,21,2,3,5,0,0,2,"Amazing resources available onsite All the perks really are amazing as they say not only is the food amazing but they also have haircuts car washes massages social events and more all available without leaving the campus The people also are really smart and amazing My group would go to snack a free warm snack at 3 PM and do brain teasersphilosophy puzzles"
36,"No","Travel_Frequently",1195,"Research & Development",11,"Bachelor","Life Sciences",1,2,"Male",95,2,2,"Manufacturing Director",2,"Single",6499,22656,1,"No",13,3,3,80,0,6,3,3,6,5,0,3,"Theres a ton of engineering resources and everything is pretty open and transparent within the company Lots of on the job perks and there are really cool projects all over the company to spend time on"
45,"No","Travel_Rarely",1339,"Research & Development",7,"Bachelor","Life Sciences",1,2,"Male",59,3,3,"Research Scientist",1,"Divorced",9724,18787,2,"No",17,3,3,80,1,25,2,3,1,0,0,0,"Google has plenty of talented engineers impressive computational infrastructure and resources and the culture to build products that make big impacts Working for Google is an ideal start point of young engineers or new graduates There are plenty of challenging problems to solve and you have the flexibility to choose the projects that interest you most"
35,"No","Travel_Frequently",664,"Research & Development",1,"Bachelor","Medical",1,2,"Male",79,3,1,"Research Scientist",1,"Married",2194,5868,4,"No",13,3,4,80,1,5,2,2,3,2,1,2,"reedom to do things you really interested in addition to 20 time it is also easy to change projects and there is no manager manage you all the time you are on your own most of the time good salary bonus and benefits  great coworkers very smart and nice people and you can learn a lot from them"
59,"No","Travel_Frequently",1225,"Sales",1,"Others","Life Sciences",1,1,"Female",57,2,2,"Sales Executive",3,"Single",5473,24668,7,"No",11,3,4,80,0,20,2,2,4,3,1,3,"The people the atmosphere and the food All 3 of these are unlikely to be duplicated anywhere else It is an extremely jovial and cooperative atmosphere where there are bound to be experts in any topic you may want to know about The food is awesome as well but this is well known"
29,"No","Travel_Rarely",1328,"Research & Development",2,"Bachelor","Life Sciences",1,3,"Male",76,3,1,"Research Scientist",2,"Married",2703,4956,0,"No",23,4,4,80,1,6,3,3,5,4,0,4,"Google has great respect for its employees and users while the company makes a great deal of money most of the people who build the products that people use on a daily basis concentrate much more much more on how to do something great and how to provide a service to the world Google is internally transparent a responsible citizen and full of wonderfully talented people and great potential"
31,"No","Travel_Rarely",1082,"Research & Development",1,"Master","Medical",1,3,"Male",87,3,1,"Research Scientist",2,"Single",2501,18775,1,"No",17,3,2,80,0,1,4,3,1,1,1,0,"Simple a great place to work There are plenty of videos and articles about how Google is the best place to work and its all true"
32,"No","Travel_Rarely",548,"Research & Development",1,"Bachelor","Life Sciences",1,2,"Male",66,3,2,"Research Scientist",2,"Married",6220,7346,1,"No",17,3,2,80,2,10,3,3,10,4,0,9,"Food message offsites endless perks Great coworkers interesting products and technologies"
36,"No","Travel_Rarely",132,"Research & Development",6,"Bachelor","Life Sciences",1,2,"Female",55,4,1,"Laboratory Technician",4,"Married",3038,22002,3,"No",12,3,2,80,0,5,3,3,1,0,0,0,"1 Very smart and rational coworkersmanagers most of them even the superstars downtoearth and approachable 2 Good salary and some benefits eg fooddrinksoutingsevents even for interns 3 The general atmosphere is very vibrant morale is very upbeat and both of these contribute to productivity for sure 4 The ability to make an impact is incredible"
31,"No","Travel_Rarely",746,"Research & Development",8,"Master","Life Sciences",1,3,"Female",61,3,2,"Manufacturing Director",4,"Single",4424,20682,1,"No",23,4,4,80,0,11,2,3,11,7,1,8,"Great technical talent Great software engineering practices Outstanding benefits Lot of visibility into the inner workings of the company"
35,"No","Travel_Rarely",776,"Sales",1,"Master","Marketing",1,3,"Male",32,2,2,"Sales Executive",1,"Single",4312,23016,0,"No",14,3,2,80,0,16,2,3,15,13,2,8,"Google was founded based on the ideals of having a comfortable work environment and it shows Free food and tons and tons of benefits are available Other examples include free bikes onsite gyms and massages free shuttle busses around the bay area and even free coop cars for employees who bike to work  Aside from the benefits the people at Google are also what makes it stand out"
45,"No","Travel_Rarely",193,"Research & Development",6,"Master","Other",1,4,"Male",52,3,3,"Research Director",1,"Married",13245,15067,4,"Yes",14,3,2,80,0,17,3,4,0,0,0,0,"By far the top reason is working with smart competent people and the opportunity to have a big positive impact on the world The resources and infrastructure are very nice as well  In general Google is an engineeringcentric company and it is a great place to be a software engineer"
37,"No","Travel_Rarely",397,"Research & Development",7,"Master","Medical",1,1,"Male",30,3,3,"Research Director",3,"Single",13664,25258,4,"No",13,3,1,80,0,16,3,4,5,2,0,2,"Google employees are very bright all have Ivy Educations and enjoy coming to work everyday The general sense that I get from talking to other employees is that we all feel that we are making the world a better place"
46,"No","Travel_Rarely",945,"Human Resources",5,"College","Medical",1,2,"Male",80,3,2,"Human Resources",2,"Divorced",5021,10425,8,"Yes",22,4,4,80,1,16,2,3,4,2,0,2,"The very best reason to work at Google can be summed up in one word culture Since that is a rather vague term let me elaborate Google has established and continues to nurture a culture that fosters high levels of both work satisfaction and contribution from its employees It does this by recognizing the potential in all employees via established work policies rather than just through lip service"
30,"No","Travel_Rarely",852,"Research & Development",1,"Others","Life Sciences",1,4,"Male",55,2,2,"Laboratory Technician",4,"Married",5126,15998,1,"Yes",12,3,3,80,2,10,1,2,10,8,3,0,"The hours are extremely flexible and work is completely online This job was great because I did not have to spend any money on clothing food or transportation The pay is much higher than other online jobs and the work is comparable Google is a great company and is a company that you can be proud to work for"
35,"No","Travel_Rarely",1214,"Research & Development",1,"Bachelor","Medical",1,2,"Male",30,2,1,"Research Scientist",3,"Single",2859,26278,1,"No",18,3,1,80,0,6,3,3,6,4,0,4,"Amazing people and technical challenges are two of the best reasons to work at Google I am always astounded at the people that I work with and the technology that I play with"
55,"No","Travel_Rarely",111,"Sales",1,"College","Life Sciences",1,1,"Male",70,3,3,"Sales Executive",4,"Married",10239,18092,3,"No",14,3,4,80,1,24,4,3,1,0,1,0,"Awesome environment with smart people Love the campus the free food the gym the bikes the perks the massage the 401k match the shuttle service etc Love the tech talks author series childrens center Openness and transparency with the management team is very useful to understand whats going on with the company Lots of exciting products are being developed and Google is leading the way"
38,"No","Non-Travel",573,"Research & Development",6,"Bachelor","Medical",1,2,"Female",79,1,2,"Research Scientist",4,"Divorced",5329,15717,7,"Yes",12,3,4,80,3,17,3,3,13,11,1,9,"My time at Google was one of the most positive experiences Ive had in my career I was with the company at a time of rapid growth and the skills I developed in that fastpaced environment are skills that Ill carry with me for the rest of my life The people that I worked with at Google are some of the brightest and talented individuals I have had the pleasure to meet"
34,"No","Travel_Rarely",1153,"Research & Development",1,"College","Medical",1,1,"Male",94,3,2,"Manufacturing Director",2,"Married",4325,17736,1,"No",15,3,3,80,0,5,2,3,5,2,1,3,"Super smart people Awesome benefits Great culture Massive resources and infrastructure Having worked at Microsoft and other tech companies I can say this is the best place Ive worked at ever The relative lack of red tape and ability for small groups of people to make things happen without dealing with too many execs"
56,"No","Travel_Rarely",1400,"Research & Development",7,"Bachelor","Life Sciences",1,4,"Male",49,1,3,"Manufacturing Director",4,"Single",7260,21698,4,"No",11,3,1,80,0,37,3,2,6,4,0,2,"Google is where you can put your academic toy grad school projects behind you and build real systems with serious resources behind them You work with really sharp coworkers on projects that can impact millions of people all over the world If youre selfdirected and curious youll find no end of interesting problems to work on Compensation seems reasonably aggressive in rewarding high performers"
23,"No","Travel_Rarely",541,"Sales",2,"Others","Technical Degree",1,3,"Male",62,3,1,"Sales Representative",1,"Divorced",2322,9518,3,"No",13,3,3,80,1,3,3,3,0,0,0,0,"Working on worldclass problems can be incredibly rewarding The staff is incredibly intelligent and youll find yourself learning a lot Even though perks are being cut back they are still much better than others Middle managers dont micromanage so you get to work mostly on your own This may be a negative or positive depending on your attitude to work"
51,"No","Travel_Rarely",432,"Research & Development",9,"Master","Life Sciences",1,4,"Male",96,3,1,"Laboratory Technician",4,"Married",2075,18725,3,"No",23,4,2,80,2,10,4,3,4,2,0,3,"Low risk work place and leader in the space CEO is one of the best and well respected Great place to start right out of school"
30,"No","Travel_Rarely",288,"Research & Development",2,"Bachelor","Life Sciences",1,3,"Male",99,2,2,"Healthcare Representative",4,"Married",4152,15830,1,"No",19,3,1,80,3,11,3,3,11,10,10,8,"The People The reason Google is such a great place to work at is because of the people There are very few places in the professional world where youll work with people who are all bright educated and passionate"
